fecha,mes,sucursal,ciudad,formato_local,dia_semana,fin_de_semana,lluvia,temperatura,evento_local,caida_app_minutos,ordenes,ticket_promedio,descuento_pct,cancelaciones_pct,faltantes,reclamos,ingresos_brutos,costo_insumos,merma,empaque,comision_app,costo_personal,renta_local,servicios,marketing_local,mantenimiento,utilidad_bruta,utilidad_operativa
2025-01-01,2025-01,Centro,Monterrey,salon_y_retiro,Wednesday,0,0,18.8,0,0,123,178.66,6.06,0.95,1,3,20642.28,5883.69,304.66,402.31,1073.4,10664.24,3200.0,1107.38,508.13,239.12,12978.21,-2740.66
2025-01-01,2025-01,Cumbres,Monterrey,familiar,Wednesday,0,0,18.8,0,0,96,162.93,6.06,0.81,0,1,14693.42,4203.19,197.85,283.16,764.06,9828.22,2900.0,1086.91,436.75,223.84,9245.16,-5230.56
2025-01-01,2025-01,Tec,Monterrey,rapido_universitario,Wednesday,0,0,18.8,0,0,97,158.68,5.74,1.03,0,1,14508.3,4225.45,208.7,333.22,754.43,9959.19,2500.0,1059.15,544.97,243.31,8986.5,-5320.13
2025-01-02,2025-01,Centro,Monterrey,salon_y_retiro,Thursday,0,0,16.0,0,0,125,192.15,5.74,1.23,1,1,22641.42,6679.26,396.78,403.03,1177.35,10613.41,3200.0,1140.37,541.5,260.49,13984.99,-1770.78
2025-01-02,2025-01,Cumbres,Monterrey,familiar,Thursday,0,0,16.0,0,0,90,175.0,6.63,1.0,1,2,14705.82,4228.06,200.38,270.89,764.7,9764.68,2900.0,1162.91,601.53,200.29,9241.8,-5387.63
2025-01-02,2025-01,Tec,Monterrey,rapido_universitario,Thursday,0,0,16.0,0,0,91,161.88,5.6,1.03,1,3,13905.93,4029.35,213.39,314.71,723.11,9754.96,2500.0,1206.65,530.74,230.89,8625.36,-5597.88
2025-01-03,2025-01,Centro,Monterrey,salon_y_retiro,Friday,1,0,18.4,0,0,171,177.32,6.2,1.03,2,3,28442.12,8160.14,493.09,530.73,1478.99,11989.38,3200.0,1099.62,576.25,201.27,17779.16,712.63
2025-01-03,2025-01,Cumbres,Monterrey,familiar,Friday,1,0,18.4,0,0,128,160.87,5.59,1.05,0,2,19440.52,5753.99,278.71,357.24,1010.91,11036.97,2900.0,1134.51,542.06,233.82,12039.68,-3807.69
2025-01-03,2025-01,Tec,Monterrey,rapido_universitario,Friday,1,0,18.4,0,0,141,161.12,5.89,1.09,1,1,21379.78,6158.22,305.39,512.52,1111.75,11034.69,2500.0,1106.25,523.4,236.44,13291.91,-2108.88
2025-01-04,2025-01,Centro,Monterrey,salon_y_retiro,Saturday,1,0,16.6,0,0,176,171.23,6.45,0.84,2,1,28191.25,8178.73,458.44,492.31,1465.94,12024.85,3200.0,1200.92,547.04,231.78,17595.82,391.23
2025-01-04,2025-01,Cumbres,Monterrey,familiar,Saturday,1,0,16.6,0,0,124,165.15,6.53,1.02,1,1,19141.33,5445.63,257.35,387.75,995.35,10972.26,2900.0,1167.61,550.6,219.17,12055.26,-3754.39
2025-01-04,2025-01,Tec,Monterrey,rapido_universitario,Saturday,1,0,16.6,0,0,133,154.64,6.2,1.04,1,1,19291.29,5474.34,372.48,430.75,1003.15,10810.26,2500.0,1123.61,613.33,196.38,12010.58,-3233.01
2025-01-05,2025-01,Centro,Monterrey,salon_y_retiro,Sunday,1,0,17.8,0,0,159,188.41,6.19,1.11,0,2,28101.89,8004.62,441.6,502.79,1461.3,11581.1,3200.0,1193.49,527.18,248.75,17691.58,941.06
2025-01-05,2025-01,Cumbres,Monterrey,familiar,Sunday,1,0,17.8,0,0,125,168.35,6.05,1.19,1,2,19771.47,5676.17,362.87,389.11,1028.12,11068.87,2900.0,1060.55,487.81,268.49,12315.21,-3470.51
2025-01-05,2025-01,Tec,Monterrey,rapido_universitario,Sunday,1,0,17.8,0,0,143,157.16,6.36,1.22,2,3,21043.4,6001.1,400.45,457.77,1094.26,11155.11,2500.0,1134.58,589.31,296.37,13089.82,-2585.55
2025-01-06,2025-01,Centro,Monterrey,salon_y_retiro,Monday,0,0,16.9,0,0,111,188.9,5.9,1.1,2,1,19731.88,5496.51,325.94,375.78,1026.06,10555.76,3200.0,1102.7,511.28,194.6,12507.58,-3056.74
2025-01-06,2025-01,Cumbres,Monterrey,familiar,Monday,0,0,16.9,0,0,89,165.17,5.71,1.18,1,2,13861.18,3923.31,203.54,249.51,720.78,9640.4,2900.0,1113.68,514.77,250.68,8764.04,-5655.49
2025-01-06,2025-01,Tec,Monterrey,rapido_universitario,Monday,0,0,16.9,0,0,100,170.15,5.78,1.23,1,2,16031.26,4508.0,241.75,380.63,833.63,9785.15,2500.0,1105.67,536.92,274.64,10067.25,-4135.13
2025-01-07,2025-01,Centro,Monterrey,salon_y_retiro,Tuesday,0,0,15.0,0,0,119,172.19,5.22,1.02,2,2,19419.75,5482.39,274.18,390.93,1009.83,10628.37,3200.0,1103.36,547.59,241.15,12262.43,-3458.05
2025-01-07,2025-01,Cumbres,Monterrey,familiar,Tuesday,0,0,15.0,0,0,97,174.32,6.26,0.94,1,1,15849.32,4618.1,213.3,298.96,824.16,9798.68,2900.0,1007.27,627.49,283.81,9894.8,-4722.45
2025-01-07,2025-01,Tec,Monterrey,rapido_universitario,Tuesday,0,0,15.0,0,0,94,162.63,6.31,0.71,1,2,14322.07,4115.2,198.31,325.55,744.75,9767.91,2500.0,1183.17,565.05,239.83,8938.27,-5317.7
2025-01-08,2025-01,Centro,Monterrey,salon_y_retiro,Wednesday,0,0,18.5,0,0,122,173.1,6.67,1.24,2,3,19709.4,5665.28,323.84,369.51,1024.89,10563.35,3200.0,1103.8,618.03,256.67,12325.87,-3415.98
2025-01-08,2025-01,Cumbres,Monterrey,familiar,Wednesday,0,0,18.5,0,0,90,167.52,6.01,1.34,1,2,14171.07,4047.47,195.3,268.3,736.9,9957.26,2900.0,1072.52,539.77,233.37,8923.09,-5779.83
2025-01-08,2025-01,Tec,Monterrey,rapido_universitario,Wednesday,0,0,18.5,0,0,98,148.44,6.13,0.97,2,1,13655.65,3950.69,260.12,309.8,710.09,9691.72,2500.0,1113.4,549.91,210.19,8424.94,-5640.27
2025-01-09,2025-01,Centro,Monterrey,salon_y_retiro,Thursday,0,0,23.9,0,0,123,182.78,5.89,1.15,0,1,21158.85,6180.9,300.22,424.9,1100.26,10874.38,3200.0,1118.15,574.9,298.57,13152.57,-2913.43
2025-01-09,2025-01,Cumbres,Monterrey,familiar,Thursday,0,0,23.9,0,0,89,167.44,5.79,1.11,2,3,14038.89,3976.26,200.61,259.66,730.02,9852.61,2900.0,1085.63,559.65,248.9,8872.34,-5774.45
2025-01-09,2025-01,Tec,Monterrey,rapido_universitario,Thursday,0,0,23.9,0,0,95,157.76,6.26,1.09,1,3,14048.61,4065.22,226.35,299.43,730.53,9869.83,2500.0,963.73,486.59,265.64,8727.09,-5358.71
2025-01-10,2025-01,Centro,Monterrey,salon_y_retiro,Friday,1,0,19.8,0,0,159,181.77,6.0,1.2,3,3,27168.68,7984.41,534.11,514.68,1412.77,11768.18,3200.0,1019.39,555.24,205.47,16722.71,-25.57
2025-01-10,2025-01,Cumbres,Monterrey,familiar,Friday,1,0,19.8,0,0,135,177.38,6.53,1.03,1,2,22383.19,6389.16,342.95,396.19,1163.93,10740.1,2900.0,1155.6,541.39,246.49,14090.96,-1492.63
2025-01-10,2025-01,Tec,Monterrey,rapido_universitario,Friday,1,0,19.8,0,0,143,147.6,5.96,1.13,1,2,19847.99,5778.08,325.92,432.42,1032.1,10832.46,2500.0,1156.38,570.87,183.03,12279.47,-2963.27
2025-01-11,2025-01,Centro,Monterrey,salon_y_retiro,Saturday,1,0,21.5,0,0,184,181.7,6.11,0.93,3,3,31389.24,9521.93,649.93,601.54,1632.24,11499.16,3200.0,1073.2,594.27,202.45,18983.61,2414.53
2025-01-11,2025-01,Cumbres,Monterrey,familiar,Saturday,1,0,21.5,0,0,134,173.02,5.89,1.02,1,2,21820.27,6215.62,313.02,407.94,1134.65,10815.16,2900.0,1009.73,547.83,266.49,13749.04,-1790.18
2025-01-11,2025-01,Tec,Monterrey,rapido_universitario,Saturday,1,0,21.5,0,0,123,158.02,6.01,0.95,2,2,18269.42,5352.82,263.82,427.26,950.01,10959.09,2500.0,1047.22,576.45,235.35,11275.52,-4042.58
2025-01-12,2025-01,Centro,Monterrey,salon_y_retiro,Sunday,1,0,20.4,0,0,164,183.39,6.22,1.24,0,2,28206.19,7900.91,488.05,505.41,1466.72,11474.86,3200.0,1095.85,599.76,194.27,17845.1,1280.37
2025-01-12,2025-01,Cumbres,Monterrey,familiar,Sunday,1,0,20.4,0,0,117,166.54,5.86,1.16,0,1,18343.16,5307.29,265.77,356.46,953.84,10825.15,2900.0,1015.15,467.4,295.84,11459.8,-4043.74
2025-01-12,2025-01,Tec,Monterrey,rapido_universitario,Sunday,1,0,20.4,0,0,133,159.46,6.19,1.12,1,4,19895.7,5627.38,256.36,437.47,1034.58,10759.75,2500.0,1152.29,586.92,211.16,12539.91,-2670.21
2025-01-13,2025-01,Centro,Monterrey,salon_y_retiro,Monday,0,0,20.0,0,0,136,167.08,6.36,0.94,2,1,21278.49,6082.63,276.35,383.5,1106.48,10849.45,3200.0,1157.44,531.92,213.89,13429.53,-2523.19
2025-01-13,2025-01,Cumbres,Monterrey,familiar,Monday,0,0,20.0,0,0,76,168.64,6.19,1.09,1,1,12023.06,3447.43,191.44,243.95,625.2,10136.01,2900.0,1090.41,515.52,238.05,7515.04,-7364.95
2025-01-13,2025-01,Tec,Monterrey,rapido_universitario,Monday,0,0,20.0,0,0,93,153.55,6.18,0.94,1,2,13396.89,3858.31,209.45,298.39,696.64,9629.37,2500.0,1083.39,525.31,247.02,8334.11,-5650.97
2025-01-14,2025-01,Centro,Monterrey,salon_y_retiro,Tuesday,0,0,18.1,0,0,125,175.94,6.02,1.06,0,2,20669.97,5944.77,324.19,383.96,1074.84,10532.75,3200.0,1031.64,537.86,223.42,12942.22,-2583.46
2025-01-14,2025-01,Cumbres,Monterrey,familiar,Tuesday,0,0,18.1,0,0,91,163.78,6.27,1.12,1,2,13968.99,4039.96,177.0,271.84,726.39,9843.75,2900.0,1119.84,567.25,220.39,8753.8,-5897.42
2025-01-14,2025-01,Tec,Monterrey,rapido_universitario,Tuesday,0,0,18.1,0,0,95,161.82,6.33,1.13,0,2,14400.13,4200.2,259.48,334.57,748.81,9519.62,2500.0,1165.98,543.37,164.02,8857.07,-5035.92
2025-01-15,2025-01,Centro,Monterrey,salon_y_retiro,Wednesday,0,0,18.1,0,0,114,180.19,6.58,1.04,1,3,19189.68,5629.79,303.07,359.97,997.86,10373.04,3200.0,1051.39,569.14,251.87,11898.99,-3546.46
